,STAD,READ,COAD,ESCA,HNSC
143361,6.0,13.0,29.0,1.0,4.0
1018,1.0,0.0,0.0,0.0,0.0
52227,1.0,8.0,16.0,1.0,1.0
1227267,12.0,6.0,19.0,4.0,5.0
52229,2.0,5.0,9.0,2.0,4.0
1592326,1.0,0.0,0.0,0.0,0.0
1715207,1.0,5.0,5.0,0.0,0.0
237576,1.0,6.0,8.0,0.0,0.0
340486,1.0,5.0,10.0,0.0,0.0
454154,11.0,9.0,28.0,10.0,41.0
1715211,38.0,16.0,45.0,16.0,55.0
1227276,27.0,6.0,6.0,9.0,24.0
1144327,1.0,0.0,0.0,0.0,0.0
39950,49.0,22.0,48.0,16.0,74.0
1581071,32.0,11.0,21.0,17.0,48.0
1739279,7.0,28.0,50.0,4.0,4.0
1581074,28.0,14.0,21.0,16.0,46.0
712213,1.0,0.0,0.0,0.0,0.0
539,13.0,5.0,9.0,5.0,50.0
310300,15.0,8.0,34.0,0.0,41.0
143393,3.0,0.0,15.0,3.0,6.0
1892897,1.0,0.0,0.0,0.0,0.0
1219626,21.0,12.0,22.0,15.0,45.0
1579,18.0,0.0,0.0,0.0,0.0
46124,31.0,10.0,18.0,15.0,60.0
46125,1.0,0.0,0.0,0.0,3.0
1582,14.0,0.0,0.0,0.0,12.0
1584,22.0,0.0,0.0,0.0,0.0
76860,1.0,10.0,14.0,0.0,1.0
1596,55.0,0.0,0.0,10.0,40.0
242750,20.0,13.0,10.0,11.0,71.0
1598,22.0,0.0,0.0,0.0,0.0
45634,34.0,6.0,11.0,0.0,57.0
39491,16.0,37.0,102.0,0.0,34.0
2124,10.0,0.0,0.0,10.0,59.0
1613,21.0,0.0,0.0,0.0,17.0
762964,1.0,6.0,10.0,0.0,0.0
1624,34.0,0.0,0.0,12.0,26.0
1111130,10.0,10.0,28.0,11.0,29.0
1739357,1.0,9.0,24.0,3.0,0.0
40542,39.0,6.0,17.0,13.0,77.0
208479,16.0,29.0,88.0,0.0,17.0
712288,48.0,23.0,66.0,23.0,105.0
1111137,2.0,0.0,8.0,1.0,2.0
1515618,12.0,3.0,2.0,0.0,37.0
1632,30.0,0.0,0.0,0.0,12.0
1633,36.0,0.0,0.0,7.0,18.0
